,CIK Number,Entity Name,Address_1,City,State,Zip Code
1076,0000916403,Voya VARIABLE PRODUCTS TRUST,ING FUNDS,SCOTTSDALE,AZ,85258
1077,0000916488,TEMPLETON GLOBAL INVESTMENT TRUST,300 S.E. 2ND STREET,FORT LAUDERDALE,FL,33301-1923
1078,0000916490,TIMOTHY PLAN,1055 MAITLAND CENTER COMMONS,MAITLAND,FL,32759
1079,0000916620,NORTHERN FUNDS,NORTHERN FUNDS,CHICAGO,IL,60603
1080,0000916622,TIFF INVESTMENT PROGRAM,170 N. RADNOR CHESTER ROAD,RADNOR,PA,19087
1081,0000916873,CMFG VARIABLE ANNUITY ACCOUNT,2000 HERITAGE WAY,WAVERLY,IA,50677
1082,0000916881,SECURITY VARILIFE SEPARATE ACCOUNT SECURITY VARILIFE,SECURITY BENEFIT LIFE INSURANCE CO,TOPEKA,KS,66636-0001
1083,0000916943,TRANSAMERICA VARIABLE FUNDS,440 MAMARONECK AVE,HARRISON,NY,10528
1084,0000917124,FIRSTHAND FUNDS,150 ALMADEN BLVD,SAN JOSE,CA,95113
1085,0000917286,FIDELITY HEREFORD STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
1086,0000917469,LOOMIS SAYLES FUNDS I,888 BOYLSTON STREET,BOSTON,MA,02199
1087,0000917573,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT E,9920 CORPORATE CAMPUS DRIVE,LOUISVILLE,KY,40223
1088,0000917677,SECURITY LIFE SEPARATE ACCOUNT L1,"8055 EAST TUFTS AVENUE, SUITE 710",DENVER,CO,80203
1089,0000917789,INHEIRITAGE ACCOUNT OF 1ST ALLMERICA FINANCIAL LIFE INS CO,20 GUEST STREET,BRIGHTON,MA,02135
1090,0000917952,Brighthouse Variable Annuity Account B,BRIGHTHOUSE LIFE INSURANCE CO OF NY,NEW YORK,NY,10017
1091,0000918199,"Federated Hermes World Investment Series, Inc.",4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
1092,0000918266,SCHWAB ANNUITY PORTFOLIOS,211 MAIN STREET,SAN FRANCISCO,CA,94105
1093,0000918292,"T. Rowe Price International Series, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1094,0000918294,"T. Rowe Price Equity Series, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1095,0000918571,MFS VARIABLE INSURANCE TRUST,111 HUNTINGTON AVENUE,BOSTON,MA,02199
1096,0000918659,UNITED OF OMAHA SEPARATE ACCOUNT B,MUTUAL OF OMAHA PLZ 3-LAW,OMAHA,NE,68175-1008
1097,0000918701,GREATER INDIA PORTFOLIO,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1098,0000918706,Global Macro Portfolio,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1099,0000918848,"BLACKROCK MID CAP DIVIDEND SERIES, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
1100,0000918942,LKCM Funds,301 COMMERCE,FORT WORTH,TX,76102
1101,0000918949,LORD ASSET MANAGEMENT TRUST,425 S. FINANCIAL PLACE,CHICAGO,IL,60605
1102,0000919020,AMERICAN SEPARATE ACCOUNT NO 3,320 PARK AVENUE,NEW YORK,NY,10022
1103,0000919160,GUINNESS ATKINSON FUNDS,225 SOUTH LAKE AVENUE,PASADENA,CA,91101
1104,0000919555,Lincoln Life Variable Annuity Account JF-II,ONE GRANITE PLACE,CONCORD,NH,03301-3258
1105,0000920369,LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT K,1300 SOUTH CLINTON ST,FORT WAYNE,IN,46802
1106,0000920370,LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT J,1300 SOUTH CLINTON ST,FORT WAYNE,IN,46801
1107,0000920467,"T. Rowe Price Fixed Income Series, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1108,0000920547,TOUCHSTONE VARIABLE SERIES TRUST,303 BROADWAY,CINCINNATI,OH,45202-4203
1109,0000920548,WESTERN SOUTHERN LIFE ASSURANCE CO SEPARATE ACCOUNT 1,400 BROADWAY,CINCINNATI,OH,45202
1110,0000920701,AB SUSTAINABLE INTERNATIONAL THEMATIC FUND INC,ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
1111,0000921025,MML BAY STATE VARIABLE ANNUITY SEPARATE ACCOUNT 1,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
1112,0000921370,HIGH INCOME OPPORTUNITIES PORTFOLIO,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1113,0000921522,LINCOLN LIFE & ANNUITY FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT JA-B,ONE GRANITE PLACE,CONCORD,NH,03301-3258
1114,0000922457,"BLACKROCK ADVANTAGE GLOBAL FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
1115,0000922586,CONNECTICUT MUTUAL VARIABLE LIFE SEPARATE ACCOUNT 1,1295 STATE STREET,SPRINGFIELD,MA,01111-0001
1116,0000922934,MASSACHUSETTS MUTUAL VARIABLE ANNUITY SEPARATE ACCOUNT 3,1295 STATE STREET,SPRINGFIELD,MA,01111
1117,0000923057,GENWORTH LIFE VA SEPARATE ACCOUNT,6610 WEST BROAD STREET,RICHMOND,VA,23230
1118,0000923084,"T. Rowe Price Spectrum Funds II, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1119,0000923184,MATTHEWS INTERNATIONAL FUNDS,FOUR EMBARCADERO CENTER,SAN FRANCISCO,CA,94111
1120,0000923202,VANGUARD TAX-MANAGED FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
1121,0000923459,"Gabelli Gold Fund, Inc.",ONE CORPORATE CENTER,RYE,NY,10580-1434
1122,0000923495,SEPARATE ACCOUNT EQ OF VENERABLE INSURANCE & ANNUITY Co,600 WALNUT STREET,DES MOINES,IA,50309-3942
1123,0000923524,TIAA SEPARATE ACCOUNT VA 1,730 THIRD AVENUE,NEW YORK,NY,10017
1124,0000924211,AMERICAN CENTURY STRATEGIC ASSET ALLOCATIONS INC,4500 MAIN STREET,KANSAS CITY,MO,64111
1125,0000924628,SARATOGA ADVANTAGE TRUST,1616 N LITCHFIELD RD.,GOODYEAR,AZ,85395
1126,0000924727,FPA FUNDS TRUST,11601 WILSHIRE BOULEVARD,LOS ANGELES,CA,90025
1127,0000925463,"GABELLI INTERNATIONAL GROWTH FUND, INC",ONE CORPOATE CENTER,RYE,NY,10580-1434
1128,0000925723,Federated Hermes Institutional Trust,4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
1129,0000925737,BISHOP STREET FUNDS,1FREEDOM VALLEY DRIVE,OAKS,PA,19087-1693
1130,0000925950,AMERICAN HIGH-INCOME MUNICIPAL BOND FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
1131,0000925981,VARIABLE ANNUITY ACCOUNT I OF VOYA RETIREMENT INSURANCE & ANNUITY Co,ONE ORANGE WAY,WINDSOR,CT,06095-4774
1132,0000925997,TALCOTT RESOLUTION LIFE & ANNUITY INSUR CO SEPARATE ACCOUNT THREE,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
1133,0000925999,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT THREE,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
1134,0000926243,COMMERCE FUNDS,1000 WALNUT ST,KANSAS CITY,MO,64121
1135,0000926266,RIVERSOURCE VARIABLE ANNUITY ACCOUNT,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
1136,0000926424,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT R,601 CONGRESS STREET,BOSTON,MA,02210
1137,0000926425,DEUTSCHE DWS ASSET ALLOCATION TRUST,875 THIRD AVENUE,NEW YORK,NY,10022-6225
1138,0000926678,BRANDES INVESTMENT TRUST,THE NORTHERN TRUST COMPANY,CHICAGO,IL,60603
1139,0000926998,NATIONWIDE PROVIDENT VLI SEPARATE ACCOUNT A,1000 CHESTERBROOK BOULEVARD,BERWYN,PA,19312
1140,0000927028,Metropolitan Life Variable Annuity Separate Account II,200 PARK AVENUE,NEW YORK,NY,10166
1141,0000927140,OHIO NATIONAL VARIABLE ACCOUNT D,ONE FINANCIAL WAY,CINCINNATI,OH,45242
1142,0000927384,VARIABLE INSURANCE PRODUCTS FUND III,245 SUMMER STREET,BOSTON,MA,02210
1143,0000927649,THRIVENT VARIABLE ANNUITY ACCOUNT A,625 FOURTH AVENUE SOUTH,MINNEAPOLIS,MN,55415
1144,0000927730,JACKSON NATIONAL SEPARATE ACCOUNT - I,1 CORPORATE WAY,LANSING,MI,48951
1145,0000927751,NATIONWIDE VARIABLE ACCOUNT 7,NATIONWIDE LIFE INSURANCE CO,COLUMBUS,OH,43215
1146,0000927845,"T. Rowe Price Value Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1147,0000927915,NATIONWIDE VARIABLE ACCOUNT 6,ONE NATIONWIDE PLAZA,COLUMBUS,OH,43216
1148,0000927972,MASSMUTUAL PREMIER FUNDS,100 BRIGHT MEADOW BLVD.,ENFIELD,CT,06082
1149,0000928407,C M MULTI ACCOUNT A,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
1150,0000928408,GROUP VEL ACCOUNT OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
1151,0000928718,CG VARIABLE ANNUITY SEPARATE ACCOUNT II,900 COTTAGE GROVE RD,BLOOMFIELD,CT,06002
1152,0000928880,PIA VARIABLE ANNUITY ACCOUNT I,600 DRESHER RD,HORSHAM,PA,19044
1153,0000928971,PRICE T ROWE VARIABLE ANNUITY ACCOUNT,SECURITY BENEFIT LIFE INSURANCE CO,TOPEKA,KS,66636-0001
1154,0000928973,PRICE T ROWE VAR AN ACCT OF FIR SEC BEN LIF INS&ANN CO OF NY,"350 PARK AVENUE, 14TH FLOOR",NEW YORK,NY,10022
1155,0000929240,GUARDIAN SEPARATE ACCOUNT K,"10 HUDSON YARDS, 22 FLOOR",NEW YORK,NY,10001
1156,0000929345,COMMONWEALTH SELECT SEP ACCT II OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
1157,0000929519,SEPARATE ACCOUNT VA BNY,440 MAMARONECK AVENUE,HARRISON,NY,10528
1158,0000929521,WANGER ADVISORS TRUST,227 WEST MONROE STREET STE 3000,CHICAGO,IL,60606
1159,0000929523,"PRUDENTIAL INVESTMENT PORTFOLIOS, INC. 17",655 BROAD STREET,NEWARK,NJ,07102
1160,0000929630,SEPARATE ACCOUNT FIVE OF TALCOTT RESOLUTION LIFE & ANNUITY INSURANCE CO,213 WASHINGTON ST,NEWARK,NJ,07102
1161,0000929631,SEPARATE ACCOUNT FIVE OF TALCOTT RESOLUTION LIFE INSURANCE CO,213 WASHINGTON ST,NEWARK,NJ,07102
1162,0000929634,SEPARATE ACCOUNT NO 45 OF EQUITABLE FINANCIAL LIFE INSURANCE CO,1290 AVENUE OF THE AMERICAS,NEW YORK,NY,10104
1163,0000929964,RETIREMENT PLAN SERIES ACCOUNT OF GREAT WEST LIFE & ANNUITY,8515 EAST ORCHARD RD,GREENWOOD VILLAGE,CO,80111
1164,0000930007,PACE SELECT ADVISORS TRUST,C/O UBS ASSET MANAGEMENT (AMERICAS) INC.,NEW YORK,NY,10019
1165,0000930597,CG VARIABLE LIFE INSURANCE SEPARATE ACCOUNT I,900 COTTAGE GROVE RD,BLOOMFIELD,CT,06002
1166,0000930667,"iShares, Inc.",400 HOWARD STREET,SAN FRANCISCO,CA,94105
1167,0000930709,PIONEER VARIABLE CONTRACTS TRUST /MA/,60 STATE ST,BOSTON,MA,02109
1168,0000931151,"T. Rowe Price U.S. Equity Research Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1169,0000931344,FS VARIABLE SEPARATE ACCOUNT,ONE WORLD FINANCIAL CENTER,NEW YORK,NY,10281
1170,0000931424,COMPANION LIFE SEPARATE ACCOUNT C,3 LAW DIVISION,OMAHA,NE,68175-1008
1171,0000931491,CAPITAL MANAGEMENT INVESTMENT TRUST,140 BROADWAY,NEW YORK,NY,10005
1172,0000931779,NEW ENGLAND VARIABLE ANNUITY SEPARATE ACCOUNT,NEW ENGLAND LIFE INSURANCE COMPANY,BOSTON,MA,02116
1173,0000931923,MINNESOTA LIFE VARIABLE UNIVERSAL LIFE ACCOUNT,400 ROBERT ST NORTH,ST PAUL,MN,55101-2098
1174,0000932020,VARIFLEX LS,SECURITY BENEFIT LIFE INSURANCE CO,TOPEKA,KS,66636-0001
1175,0000932101,PUTNAM INVESTMENT FUNDS,ONE POST OFFICE SQUARE,BOSTON,MA,02109
1176,0000932381,"Tributary Funds, Inc.",1620 DODGE STREET,OMAHA,NE,68197
1177,0000932471,VANGUARD HORIZON FUNDS,P O BOX 2600,VALLEY FORGE,PA,19482
1178,0000932501,SEPARATE ACCOUNT VA-P OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
1179,0000932834,TALCOTT RESOLUTION LIFE & ANNUITY INSURANCE CO SEPARATE ACCOUT SIX,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
1180,0000932927,AG SEPARATE ACCOUNT A of AGL,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
1181,0000933094,AMERITAS LIFE INSURANCE CORP SEPARATE ACCOUNT LLVL,5900 O ST P O BOX 81889,LINCOLN,NE,68510
1182,0000933131,SEPARATE ACCOUNT VA-P OF FIRST ALLMERICA FIN LIFE INSUR CO,20 GUEST STREET,BRIGHTON,MA,02135
1183,0000933188,SENIOR DEBT PORTFOLIO,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1184,0000933275,TFLIC SERIES LIFE ACCOUNT,PO BOX 9051,CLEARWATER,FL,33758
1185,0000933621,SECURITY EQUITY SEPARATE ACCOUNT 26,METROPOLITAN LIFE INSURANCE CO,NEW YORK,NY,10166
1186,0000933666,LPLA SEPARATE ACCOUNT ONE,C/O FIDELITY SECURITY LIFE INSURANCE CO,KANSAS CITY,MO,64111-2406
1187,0000933668,SECURITY EQUITY SEPARATE ACCOUNT 27,METROPOLITAN LIFE INSURANCE CO,NEW YORK,NY,10166
1188,0000933691,JNL SERIES TRUST,1 CORPORATE WAY,LANSING,MI,48951
1189,0000934298,NYLIAC VARIABLE ANNUITY SEPARATE ACCOUNT III,51 MADISON AVENUE,NEW YORK,NY,10010
1190,0000934344,PHL VARIABLE ACCUMULATION ACCOUNT,ONE AMERICAN ROW,HARTFORD,CT,06115
1191,0000934348,"MILES FUNDS, INC.",1415 28TH STREET,WEST DES MOINES,IA,50266
1192,0000934563,HC CAPITAL TRUST,"300 BARR HARBOR DRIVE, 5TH FLOOR",WEST CONSHOHOCKEN,PA,19428
1193,0000934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,320 PARK AVE,NEW YORK,NY,10022
1194,0000935015,ARTISAN PARTNERS FUNDS INC,875 EAST WISCONSIN AVE STE 800,MILWAUKEE,WI,53202
1195,0000935070,Voya STRATEGIC ALLOCATION PORTFOLIOS INC,ING FUNDS SERVICES,SCOTTSDALE,AZ,85258
1196,0000935708,Separate Account No. 13S,METROPOLITAN LIFE INSURANCE CO,NEW YORK,NY,10166
1197,0000935823,SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO,P O BOX 7500,NEWPORT BEACH,CA,92658-7500
1198,0000936373,FRANKLIN TEMPLETON MONEY FUND TRUST,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
1199,0000936600,ALAC Separate Account 1,ATHENE ANNUITY AND LIFE COMPANY,WEST DES MOINES,IA,50266-3862
1200,0000936952,CG VARIABLE LIFE INSURANCE SEPARATE ACCOUNT II,900 COTTAGE GROVE RD,BLOOMFIELD,CT,06152-2251
1201,0000937690,RIVERSOURCE VARIABLE ANNUITY ACCOUNT 1,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
1202,0000938474,SECURITY LIFE SEPARATE ACCOUNT S-A1,"8055 EAST TUFTS AVENUE, SUITE 650",DENVER,CO,80237
1203,0000939800,OPPENHEIMER INTERNATIONAL BOND FUND,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
1204,0000939934,SEI INSTITUTIONAL INVESTMENTS TRUST,1 FREEDOM VALLEY DRIVE,OAK,PA,19456
1205,0000940338,KANSAS CITY LIFE VARIABLE ANNUITY SEPARATE ACCOUNT,3520 BROADWAY,KANSAS CITY,MO,64111
1206,0000940420,SEPARATE ACOUNT VLII OF TALCOTT RESOLUTION LIFE & ANNUITY INSURANCE CO,213 WASHINGTON ST,NEWARK,NJ,07102
1207,0000940421,SEPARATE ACCOUNT VL II OF TALCOTT RESOLUTION LIFE INSURANCE CO,213 WASHINGTON ST,NEWARK,NJ,07102
1208,0000941568,CREDIT SUISSE TRUST,ELEVEN MADISON AVENUE,NEW YORK,NY,10010
1209,0000942323,SEPARATE ACCOUNT N OF RELIASTAR LIFE,20 WASHINGTON AVENUE SOUTH,MINNEAPOLIS,MN,55401
1210,0000943724,CIGNA VARIABLE ANNUITY SEPARATE ACCOUNT I,900 COTTAGE GROVE RD,HARTFORD,CT,06152-2251
1211,0000943863,C M LIFE VARIABLE LIFE SEPARATE ACCOUNT I,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
1212,0000944305,SEPARATE ACCOUNT U OF VENERABLE INSURANCE & ANNUITY Co,699 WALNUT STREET,DES MOINES,IA,50309-3942
1213,0000944684,UBS RELATIONSHIP FUNDS,C/O UBS ASSET MANAGEMENT (AMERICAS) INC,CHICAGO,IL,60606
1214,0000944959,ANNUITY INVESTORS VARIABLE ACCOUNT A,C/O ANNUITY INVESTORS LIFE INSURANCE CO,CINCINNATI,OH,45201-5423
1215,0000944992,NATIONAL VARIABLE LIFE INSURANCE ACCOUNT,ONE NATIONAL LIFE DRIVE,MONTPELIER,VT,05604
1216,0000945906,ALLMERICA SELECT SEP ACCT II OF 1ST ALLMERICA FIN LIF INS CO,20 GUEST STREET,BRIGHTON,MA,02135
1217,0000945907,GROUP VEL ACCT OF 1ST ALLMERICA FINANCIAL LIFE INS CO,20 GUEST STREET,BRIGHTON,MA,02135
1218,0000945908,FIDELITY COVINGTON TRUST,245 SUMMER STREET,BOSTON,MA,02210
1219,0000946110,CREDIT SUISSE OPPORTUNITY FUNDS,ELEVEN MADISON AVENUE,NEW YORK,NY,10010
1220,0000946730,CG VARIABLE LIFE INSURANCE SEPARATE ACCOUNT A,"900 COTTAGE GROVE ROAD, A4COL",BLOOMFIELD,CT,06002
1221,0000946868,Federated Hermes Total Return Government Bond Fund,4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
1222,0000947441,HOLLAND SERIES FUND INC,225 FRANKLIN STREET,BOSTON,MA,02110
1223,0000947506,TFLIC SEPARATE ACCOUNT C,440 MAMARONECK AVENUE,HARRISON,NY,10528
1224,0000947703,PRUCO LIFE FLEXIBLE PREMIUM VARIABLE ANNUITY ACCOUNT,213 WASHINGTON STREET,NEWARK,NJ,07102
1225,0000948255,ALLSTATE LIFE OF NEW YORK SEPARATE ACCOUNT A,100 MOTOR PARKWAY,HAUPPAUGE,NY,11788
1226,0000948258,M FUND INC,1125 NW COUCH STREET,PORTLAND,OR,97209
1227,0000948443,CARILLON LIFE ACCOUNT,"5900 ""O"" STREET",LINCOLN,NE,68510
1228,0000948923,PROTECTIVE VARIABLE LIFE SEPARATE ACCOUNT,2801,BIRMINGHAM,AL,35223
1229,0000948972,KANSAS CITY LIFE VARIABLE LIFE SEPARATE ACCOUNT,3520 BROADWAY,KANSAS CITY,MO,64111
1230,0000949512,"PRUDENTIAL INVESTMENT PORTFOLIOS, INC.",655 BROAD ST. 17TH FLOOR,NEWARK,NJ,07102
1231,0000949820,"T. Rowe Price Corporate Income Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1232,0000949878,NATIONWIDE VARIABLE ACCOUNT 8,NATIONWIDE LIFE INSURANCE CO,COLUMBUS,OH,43216
1233,0001000191,RIVERSOURCE VARIABLE ACCOUNT 10,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
1234,0001000249,FIRST EAGLE VARIABLE FUNDS,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10020
1235,0001000351,LEUTHOLD FUNDS INC,33 SOUTH SIXTH STREET,MINNEAPOLIS,MN,55402
1236,0001001980,SECURITY LIFE SEPARATE ACCOUNT S-L1,"8055 EAST TUFTS AVENUE, SUITE 650",DENVER,CO,80237
1237,0001002427,Morgan Stanley Insight Fund,C/O MORGAN STANLEY,NEW YORK,NY,10036
1238,0001002537,NEEDHAM FUNDS INC,250 PARK AVENUE,NEW YORK,NY,10177
1239,0001002624,"T. Rowe Price Health Sciences Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1240,0001002667,TAX-MANAGED GROWTH PORTFOLIO,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1241,0001002718,"AB UNCONSTRAINED BOND FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
1242,0001002729,ICMG REGISTERED VARIABLE LIFE SEPARATE ACCOUNT ONE,C/O TALCOTT RESOLUTION LIFE INS CO,WINDSOR,CT,06095
1243,0001002779,VARIABLE ANNUITY ACCOUNT FIVE,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
1244,0001003239,SEASONS SERIES TRUST,"21650 OXNARD STREET, 10TH FLOOR",WOODLAND HILLS,CA,91367
1245,0001003466,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT T,601 CONGRESS STREET,BOSTON,MA,02210
1246,0001003632,SEI ASSET ALLOCATION TRUST,1 FREEDOM VALLEY DRIVE,OAKS,PA,19456
1247,0001003839,MATTHEW 25 FUND,715 TWINING ROAD,DRESHER,PA,19025
1248,0001003924,MANOR INVESTMENT FUNDS INC,15 CHESTER COMMONS,MALVERN,PA,19355
1249,0001004655,VANGUARD WHITEHALL FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
1250,0001004871,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT 1,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
1251,0001004875,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT 2,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
1252,0001005020,VIRTUS OPPORTUNITIES TRUST,101 MUNSON STREET,GREENFIELD,MA,01301
1253,0001005336,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT G,9920 CORPORATE CAMPUS DRIVE,LOUISVILLE,KY,40223
1254,0001005728,OPPENHEIMER INTERNATIONAL GROWTH FUND,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
1255,0001005913,ALLSTATE LIFE VARIABLE LIFE SEPARATE ACCOUNT A,3100 SANDERS RD J5B WEST PLAZA,NORTHBROOK,IL,60062
1256,0001005942,PUTNAM FUNDS TRUST,ONE POST,BOSTON,MA,02109
1257,0001006373,DEUTSCHE DWS INVESTMENTS VIT FUNDS,875 THIRD AVENUE,NEW YORK,NY,10022-6225
1258,0001006387,ROYCE CAPITAL FUND,"C/O ROYCE & ASSOCIATES, LLC",NEW YORK,NY,10151
1259,0001006415,HARTFORD MUTUAL FUNDS INC/CT,690 LEE ROAD,WAYNE,PA,19087
1260,0001007009,JACKSON VFL VARIABLE ANNUITY SEPARATE ACCOUNT,1 CORPORATE WAY,LANSING,MI,48951
1261,0001007010,JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT,1 CORPORATE WAY,LANSING,MI,48951
1262,0001007226,WESMARK FUNDS,ONE BANK PLAZA,WHEELING,WV,26003
1263,0001007286,VARIABLE ANNUITY 1 SERIES ACCOUNT,8515 E ORCHARD RD,GREENWOOD VILLAGE,CO,80111
1264,0001007571,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT,20 MADISON AVENUE EXTENSION,ALBANY,NY,12203
1265,0001007573,KEYPORT VARIABLE ACCOUNT A/MA,DELAWARE LIFE INSURANCE COMPANY,WALTHAM,MA,02451
1266,0001008003,PRUDENTIAL VARIABLE CONTRACT ACCOUNT GI-2,PRUDENTIAL INSURANCE COMPANY  OF AMERICA,NEWARK,NJ,07102-3777
1267,0001010616,CG CORPORATE INSURANCE VARIABLE LIFE SEPARATE ACCOUNT 2,"900 COTTAGE GROVE ROAD, A4COL",BLOOMFIELD,CT,06002
1268,0001011008,State Street Navigator Securities Lending Trust,ONE IRON STREET,BOSTON,MA,02210
1269,0001011378,MORGAN STANLEY VARIABLE INSURANCE FUND INC.,522 FIFTH AVENUE,NEW YORK,NY,10036
1270,0001011996,STAAR INVESTMENT TRUST,120 E 23RD STREET,NEW YORK,NY,10010
1271,0001012288,RETIREMAP VARIABLE ACCOUNT,PO BOX 10207,BIRMINGHAM,AL,35233
1272,0001012678,"T. Rowe Price Mid-Cap Value Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1273,0001012968,"T. Rowe Price Equity Funds, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
1274,0001012969,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT Q,601 CONGRESS STREET,BOSTON,MA,02210
1275,0001013881,NUVEEN INVESTMENT TRUST,JOHN NUVEEN & CO INC,CHICAGO,IL,60606
1276,0001014913,"FRONTIER FUNDS, INC.","U.S. BANCORP FUND SERVICES, LLC",MILWAUKEE,WI,53202
1277,0001015343,LINCOLN NATIONAL VARIABLE ANNUITY ACCT L,1300 S CLINTON ST,FORT WAYNE,IN,46802
1278,0001015570,SEPARATE ACCT NO 49 OF EQUITABLE FINANCIAL LIFE INSURANCE CO,1290 AVENUE OF THE AMERICAS,NEW YORK,NY,10104
1279,0001015716,SEPARATE ACCOUNT VL OF FIRST VARIABLE LIFE INSURANCE CO,PROTECTIVE LIFE INSURANCE COMPANY,BIRMINGHAM,AL,35223
1280,0001015965,Voya VARIABLE PORTFOLIOS INC,"7337 E. DOUBLETREE RANCH ROAD, STE 100",SCOTTSDALE,AZ,85258
1281,0001015986,OPPENHEIMER DEVELOPING MARKETS FUND,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
1282,0001016073,DRIEHAUS MUTUAL FUNDS,25 EAST ERIE ST,CHICAGO,IL,60611
1283,0001016274,AMERITAS LIFE INSURANCE CORP SEPARATE ACCOUNT LLVA,5900 O STREET,LINCOLN,NE,68510
1284,0001016809,RETIREMENT BUILDER VARIABLE ANNUITY ACCOUNT,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499-0001
1285,0001017656,AGL SEPARATE ACCOUNT VA-1,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
1286,0001017927,"NUVEEN STRATEGY FUNDS, INC.",333 WEST WACKER DR.,CHICAGO,IL,60606
1287,0001017963,SEPARATE ACCOUNT VL I OF TALCOTT RESOLUTION LIFE & ANNUITY INSURANCE CO,213 WASHINGTON ST,NEWARK,NJ,07102
1288,0001017967,WORLDWIDE HEALTH SCIENCES PORTFOLIO,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
1289,0001018042,CORPORATE SPONSORED VUL SEPARATE ACCOUNT I,"51 MADISON AVENUE, ROOM 10SB",NEW YORK,NY,10010
1290,0001018170,HARDING LOEVNER FUNDS INC,400 CROSSING BLVD.,BRIDGEWATER,NJ,08807
